Date,Sub Category ID,Plant ID,Vendor ID,Material ID,Defect Type ID,Material Type ID,Defect ID,Defect Qty,Downtime min
31/12/2014 00:00,2,16,2,2126,3,4,27,0,60
31/12/2014 00:00,2,16,2,2126,3,4,27,0,60
31/12/2014 00:00,2,16,2,2137,3,6,281,1,60
31/12/2014 00:00,2,20,59,1439,3,8,295,9,10
31/12/2014 00:00,2,2,46,607,3,8,299,47,30
31/12/2014 00:00,1,1,16,1824,3,3,90,20009,218
31/12/2014 00:00,4,5,4,54,4,2,25,1,75
31/12/2014 00:00,6,10,62,269,4,3,12,570,70
31/12/2014 00:00,6,10,62,878,4,1,11,623,30
31/12/2014 00:00,4,21,103,450,1,9,247,14418,0
31/12/2014 00:00,6,10,8,770,4,9,105,1562,0
31/12/2014 00:00,1,1,1,2148,1,1,270,490,0
31/12/2014 00:00,1,1,16,2147,4,3,90,445,0
31/12/2014 00:00,1,1,16,1824,4,3,90,6692,0
31/12/2014 00:00,4,18,77,2141,1,9,247,0,0
30/12/2014 00:00,2,16,2,2126,3,4,27,0,70
30/12/2014 00:00,2,16,2,2126,3,4,27,0,15
30/12/2014 00:00,2,16,47,1503,3,6,82,2,240
30/12/2014 00:00,2,16,1,2146,3,1,273,14,15
30/12/2014 00:00,2,16,1,2146,3,1,273,45,60
30/12/2014 00:00,2,16,1,2146,3,1,291,107,60
30/12/2014 00:00,2,20,62,2139,3,1,11,12460,60
30/12/2014 00:00,4,22,99,1499,4,9,69,14205,0
29/12/2014 00:00,2,17,36,2143,4,14,279,0,101
29/12/2014 00:00,2,16,2,2126,3,4,27,0,15
29/12/2014 00:00,3,4,11,2111,3,2,158,7103,10
29/12/2014 00:00,4,12,96,466,3,9,69,8010,300
29/12/2014 00:00,3,4,1,2138,3,1,270,1202,360
29/12/2014 00:00,6,10,3,1557,4,9,105,1211,0
29/12/2014 00:00,3,4,4,2144,1,10,57,890,0
29/12/2014 00:00,3,4,4,2144,1,10,57,1780,0
29/12/2014 00:00,3,4,4,2145,1,10,57,4450,0
29/12/2014 00:00,3,4,4,2120,1,10,57,8010,0
29/12/2014 00:00,3,4,18,1061,4,8,37,14,0
29/12/2014 00:00,3,4,17,150,3,13,289,0,0
28/12/2014 00:00,2,20,93,2114,1,9,64,890,0
25/12/2014 00:00,2,11,2,265,3,6,281,6,27
25/12/2014 00:00,2,11,2,1663,3,4,34,6,18
25/12/2014 00:00,2,16,13,2118,3,1,7,178,60
25/12/2014 00:00,2,11,27,1150,1,1,270,178,0
25/12/2014 00:00,2,24,1,5,4,1,5,1748,0
25/12/2014 00:00,1,1,1,1547,4,1,17,641,0
25/12/2014 00:00,2,11,2,2126,3,4,27,2,0
24/12/2014 00:00,2,16,79,1330,3,3,300,45,120
24/12/2014 00:00,5,7,21,1857,4,8,124,113030,60
24/12/2014 00:00,4,22,47,2129,4,4,274,28035,999
24/12/2014 00:00,2,16,13,2006,3,1,12,67,60
24/12/2014 00:00,4,18,96,466,1,9,69,18423,0
24/12/2014 00:00,5,6,325,2132,4,9,152,23,0
24/12/2014 00:00,2,24,2,46,1,6,30,0,0
24/12/2014 00:00,5,6,324,2131,4,9,152,0,0
24/12/2014 00:00,5,6,77,2121,4,9,152,0,0
23/12/2014 00:00,6,10,216,2124,4,2,49,12460,119
23/12/2014 00:00,4,5,56,954,4,9,109,625,20
23/12/2014 00:00,5,7,9,1760,4,1,270,1691,20
23/12/2014 00:00,4,5,7,71,1,9,134,45,0
23/12/2014 00:00,4,5,327,470,1,9,247,1717,0
22/12/2014 00:00,5,6,34,2134,3,11,216,267,55
22/12/2014 00:00,4,5,56,935,3,9,134,11125,307
22/12/2014 00:00,6,10,216,2125,4,2,25,185120,15
22/12/2014 00:00,5,6,34,631,4,11,135,336509,120
22/12/2014 00:00,2,2,1,2128,3,1,58,2,45
22/12/2014 00:00,2,2,1,2,3,1,195,20,30
